"","X","Draw","To","Artist","Song","Language","Place","Points","Year","lyrics","corpus$sent"
"168",168,"11","Germany","Cascada","""Glorious""","English","21","18",2013,"   ( Glorious )  Do you know it's time to let yourself go?  Why don't we just let it show?  Tell me what you're waiting for 'Cause I, I wanna live before I die Crash and burn and lose my mind We can set the world on fire Tonight we can be glorious We are young at heart and we're free The world is ours, I can feel the music in me Glorious, found a love that eyes cannot see Delirious, hoo whoa. . .  whoa. . .  I believe the little child inside of me Can rebuild my destiny And one day I'll be breaking free Now's the time, we're running at the speed of light I'll meet you on the other side Every time I close my eyes Tonight we can be glorious We are young at heart and we're free The world is ours, I can feel the music in me Glorious, found a love that eyes cannot see Delirious, I can feel the music in me  ( Glorious )  Found a love that eyes cannot see  ( Glorious )   ( We are glo. . .  oh oh. . .  oh oh oh. . .  )   ( We are glo. . .  oh oh. . .  oh oh oh. . .  )   ( We are glo. . .  oh oh. . .  oh oh oh. . .  )   ( We are glo. . .  oh oh. . .  oh oh oh. . .  )  Tonight we can be glorious We are young at heart and we're free The world is ours, I can feel the music in me Glorious, found a love that eyes cannot see Delirious,  hoo whoa. . .  whoa. . .  ",0.0854430379746835
"169",169,"12","Armenia","Dorians","""Lonely Planet""","English","18","41",2013,"  Who's the one that starts a war?  Who's dictating what is less and more?  Who can change the night and day?  Who's the one with clever face?  That can tell us what is in the space?  Playing games that none can play Maybe someday we'll break the wall Maybe the light will touch us all Lonely planet, who has done it?  Who can save you?  Who can stop it?  Lonely planet, who has done it?  Who can save you?  Who can stop it?  Who's the one that has the right?  Treat us wrong and tell us what is right?  Bringing crowd against the squad Who has honesty to show?  Who can tell us ""I don't know""?  Who's the man and who's the god?  Maybe someday we'll break the wall Maybe the light will touch us all Lonely planet, who has done it?  Who can save you?  Who can stop it?  Lonely planet, who has done it?  Who can save you?  Who can stop it?  Lonely planet, we have done it We can save you, we can stop it Lonely planet, we have done it We can save you, we can stop it We can stop it, we can stop it We can stop it, we can stop it For the world ",-0.0448979591836735
"170",170,"13","Netherlands","Anouk","""Birds""","English","9","114",2013,"  Isolated from the outside Clouds have taken all the light I have no control, it seems my Thoughts wander all Of the time, when I try to Live life without you Birds falling down the rooftops Out of the sky like raindrops No air, no pride If being myself is what I do wrong Then I would rather not be right Hopes turned into fear and with my One wing I can't fly With sunrise, embrace my Dreams tight and that's why Birds falling down the rooftops Out of the sky like raindrops No air, no pride Birds To a place without fear, with no moonlight  ( To a place without moonlight and fear )  All I need are trees and flowers and some sunlight  ( All I need is trees, some flowers and sunlight )  Where memories are being made and where the old one dies Where love ain't lost Birds falling down the rooftops Out of the sky like raindrops Birds falling down the rooftops Out of the sky like raindrops No air, no pride That's why birds don't fly ",-0.00526315789473684
"171",171,"14","Romania","Cezar","""It's My Life""","English","13","65",2013,"  Love is so bright Like a diamond in the light Love is so, so true I can paint my world in blue Love is so deep And it makes my life complete Like a mountain in the sky Love is high, so high It's my life and I know it's not forever It's my life and I'll share it all with you It's my life, we were meant to be together I'll give my life to you Love is so strong In the heart where you belong It's a dream, a desire And is burning like a fire Love is so deep And it makes my life complete Like a mountain in the sky Love is high, so high It's my life, it's my life, it's my life I'll find my story and fight for my glory of love, love. . .  It's my life and I know it's not forever It's my life and I'll share it all with you It's my life, we were meant to be together I'll give my life to you It's my life and I know it's not forever It's my life and I'll share it all with you It's my life, we were meant to be together I'll give my life to you Lyrics in English  ( if not the performed language )  It's my life music & lyrics: Cristian Faur Love is so bright Like a diamond in the light Love is so true I can paint my world in blue Love is so deep And it makes my life complete Like a mountain in the sky Love is high, so high It's my life and I know it's not forever It's my life and I'll share it all with you It's my life, we were meant to be together I'll give my life to you Love is so strong In the heart where you belong It's a dream, a desire And is burning like a fire Love is so deep And it makes my life complete Like a mountain in the sky Love is high, so high It's my life and I know it's not forever It's my life and I'll share it all with you It's my life, we were meant to be together I'll give my life to you I'll find my story and fight for my glory of love … It's my life and I know it's not forever It's my life and I'll share it all with you It's my life, we were meant to be together I'll give my life to you ",0.195945945945946
"172",172,"15","United Kingdom","Bonnie Tyler","""Believe in Me""","English","19","23",2013,"  You say you don't believe in signs from up above And you laugh at the thought of putting your faith in stuff like love You never see the rainbow, you just curse the rain, you say You wanna believe but it's just not worth the pain today But that's all fine if that's how you want it to be But if you're feeling alone and afraid and you can't breathe Believe in me, yeah Believe in me, yeah Believe in the way I look at you and stand beside you The way I speak the truth, I'd never lie to you If you just believe in the things that your eyes can see Believe in me You come and you go and there's never no compromise, that's why The seconds and the minutes of the days of your life go crawling by But that's all fine if that's how you want it to be But if you're feeling alone and afraid and you can't breathe Believe in me, yeah Believe in the way I look at you and stand beside you The way I speak the truth, I'd never lie to you If you just believe in the things that your eyes can see Believe in me What ya gonna do when your ship is sinking?  And you're crying out for help and just the seagull's listening In the dark of the night, in the middle of the fight When you're reaching out for something and there's nothing Believe in me, yeah Believe in the way I look at you and stand beside you The way I speak the truth, I'd never lie to you If you just believe in the things that your eyes can see Believe in me ",0.033112582781457
"173",173,"16","Sweden","Robin Stjernberg","""You""","English","14","62",2013,"  Hey, do you remember How we would stay up all night Talking 'bout our destiny And I played the piano And you would strum on your guitar Those were the days If only you could see me now I live my dream, I owe it all to you I owe it to you Isn't it crazy?  Yeah, isn't it crazy?  It's all because of you. . .  All because of you. . .  It's all because of you. . .  oh. . .  All because of you. . .  oh. . .  I know that if the sky would fall, I'd survive it all Because of you. . .  oh. . .  I reach for the horizon Whenever I've got days of doubt Bringing me down So even if disaster strikes I close my eyes and then I'm next to you I'm right there with you, hey Yeah, isn't it crazy?  Yeah, isn't it crazy?  It's all because of you. . .  All because of you. . .  It's all because of you. . .  oh. . .  All because of you. . .  oh. . .  I know that if the sky would fall, I'd survive it all Because of you. . .  oh. . .  It's all 'cause of you Because of you  ( Hey, hey )  Because of you  ( Hey )  It's all 'cause of you. . .  I know that if the sky would fall, I'd survive it all Because of you, oh. . .  It's all because of you. . .  oh. . .  All because of you. . .  oh. . .  I know that if the sky would fall, I'd survive it all Because of you. . .  oh. . .   ( Hey yeah, hey yeah, hey. . .  )  ",-0.0145348837209302
"175",175,"18","Denmark","Emmelie de Forest","""Only Teardrops""","English","1","281",2013,"  The sky is red tonight We're on the edge tonight No shooting star to guide us Eye for an eye, why tear each other apart?  Please tell me why, why do we make it so hard?  Look at us now, we only got ourselves to blame It's such a shame How many times can we win and lose?  How many times can we break the rules?  Between us – only teardrops How many times do we have to fight?  How many times till we get it right?  Between us – only teardrops So come and face me now Here on the stage tonight Let's leave the past behind us Eye for an eye, why tear each other apart?  Please tell me why, why do we make it so hard?  Look at us now, we only got ourselves to blame It's such a shame Tell me How many times can we win and lose?  How many times can we break the rules?  Between us – only teardrops How many times do we have to fight?  How many times till we get it right between us?  Only teardrops  ( Tell me now )  What's gone between us has come between us Only teardrops  ( Tell me now )  What's gone between us has come between us How many times can we win and lose?  How many times can we break the rules?  Between us – only teardrops How many times do we have to fight?  How many times till we get it right?  Between us – only teardrops, only teardrops Oh. . .  only teardrops, only teardrops How many times can we win and lose?  How many times can we break the rules?  Between us – only teardrops How many times do we have to fight?  How many times till we get it right?  Between us – only teardrops ",0.00892857142857143
"177",177,"20","Azerbaijan","Farid Mammadov","""Hold Me""","English","2","234",2013,"  Should have seen it coming when I saw you Should have had the sense to stop and walk away It was gonna turn out complicated We've hit overload, about to explode If love was a mountain I'd climb up to the highest of them all I'd swim across the ocean if you'd call I'm lost in your smile Freefalling for miles Hold me, just unfold me Unchain my soul, give me love, make me whole Hold me, if it's only for this moment in time Now I'm yours and you're mine So hold me Take a little time then you'll know better Then to think about giving in on the one you love Can we go back and freeze the moment?  Where we used to be free, was only you and me Hold me, just unfold me Unchain my soul, give me love, make me whole Hold me, if it's only for this moment in time Now I'm yours and you're mine Remember how we used to laugh But now you're running from the past Let's find a way to carry on Remember how love used to be You said I was your fantasy Can't take another night alone So come on home Hold me, just unfold me Unchain my soul, give me love, make me whole Hold me, if it's only for this moment in time Now I'm yours and you're mine So hold me ",0.0677290836653386
"179",179,"22","Ukraine","Zlata Ognevich","""Gravity""","English","3","214",2013,"  Nothing comes from dreams but dreams Still you believe in wonder Something happens and it seems Like a strike of thunder Nothing comes from love but love Why is it growing stronger?  I am falling from above I will wait no longer I'm like a butterfly Spinning round a sword as if to dare I should have stayed up high  ( It's stronger than me )  My gravity, my gravity Hey. . .  sha. . .  Ah yeah. . .  lele. . .  See. . .  lele. . .  Nothing comes from pride but pride Mmh. . .  my way is clear Dancing on the edge tonight Now I feel no fear I'm like a butterfly Spinning round a sword as if to dare I should have stayed up high  ( It's stronger than me )  My gravity, my gravity I'm like a butterfly  ( My gravity )  I'm like a butterfly And I should have stayed up high  ( It's stronger than me )  My gravity, my gravity Gravity ",0.138121546961326
"181",181,"24","Norway","Margaret Berger","""I Feed You My Love""","English","4","191",2013,"  A cocoon in a silent tree Through the dark night you listen to me When I whisper broken words in your ear And you push, you push me hard to the surface I'm blinded at heart, but you wake me You wake me up from the snow where I was born Now I can see The whole world is mine I can touch and feel I feed you my love You put a knife against my back And you dare me to face the attack You say for cowards, there's no reward Feel the heat Oh. . .  take my hand, I trust your word Bring the fire, I don't care if it hurts I have the future on my tongue Give me a kiss Now I can see The whole world is mine I can touch and feel So I feed you my love You put a knife against my back And you dare me to face the attack You say for cowards, there's no reward I have the future on my tongue Now I can see, hoh. . .  The whole world is mine I can touch and feel, mmh yeah. . .  So I feed you my love Feed you my love So I feed you my love ",0.0765765765765766
"182",182,"25","Georgia","Nodi Tatishvili and Sophie Gelovani","""Waterfall""","English","15","50",2013,"  There's no me without you Don't know what I would do You're my heartbeat, I'm breathing because of you There's no world without us Dreams would turn into dust You're the reason, the reason I make it through Feels like I'm flying, like if I had wings Like I am sailing on a sea of dreams Your love is pouring down on me You're my waterfall In a moment like this I'm in a state of bliss I'm swept away, I look into an open sky Feels like I'm flying, like if I had wings Like I am sailing on a sea of dreams Your love is pouring down on me You're my waterfall My heart is higher than the highest kite I feel how all your love surrounds me Standing in a waterfall Like I am sailing on a sea of dreams Your love is pouring down on me You're my waterfall Feels like I'm flying, like if I had wings Like I am sailing on a sea of dreams Your love is pouring down on me You're my waterfall ",0.240641711229947
"183",183,"26","Ireland","Ryan Dolan","""Only Love Survives""","English","26","5",2013,"  All our lives we've been afraid Watching the world decline till nothing remains But in our darkest hour, right before the dawn The old world dies, the new day is born We're gonna live like it's our last night alive And we're dancing till the morning light And even if the sun don't rise In the end, only love survives So be love, be love Just be love  ( just be love ) , only love  ( only love )  We are love  ( we are love ) , only love  ( only love )  And when the stars are aligned, you got to make love a state of mind 'Cause in the end only love survives So let the world collide, don't be afraid If it's the end of time, love will remain To live like it's the last night alive And we're dancing till the morning light And even if the sun don't rise In the end, only love survives So be love, be love Just be love  ( just be love ) , only love  ( only love )  We are love  ( we are love ) , only love  ( only love )  And when the stars are aligned you got to make love a state of mind 'Cause in the end, only love survives So be love  ( be love ) , only love, love, love  ( Be love, only love )  Only love, love, love  ( 'Cause in the end )  Only love survives ",0.421641791044776
"184",184,"1","United Kingdom","Engelbert Humperdinck","""Love Will Set You Free""","English","25","12",2012,"  So graceful and pure A smile bathed in light No matter the distance A miracle of sight Though I should have known I could not turn away When faced with your beauty No reason can stay As you kiss him in the moonlight With heavy words I say If you love someone, follow your heart 'Cause love comes once if you're lucky enough Though I'll miss you forever, the hurt will run deep Only love can set you free Trust in your dreams Run with no fear And if you should stumble Remember I'm near As a ghost I will walk I'll look deep in my soul I might find another You gave me that hope So as you kiss him in the moonlight With heavy words I say If you love someone, follow your heart Because love comes once, if you're lucky enough Though I'll miss you forever and the hurt will run deep Only love can set you free And if you love someone, follow your heart 'Cause love comes once, if you're lucky enough Though I'll miss you forever, the hurt will run deep Love will set you free, yeah. . . .  ",0.193236714975845
"185",185,"2","Hungary","Compact Disco","""Sound of Our Hearts""","English","24","19",2012,"  The whole big world is just one place You can say it's all the same You may feel hatreds it sows We can show it's no way to go This is the sound of our hearts, if you listen This is a zeal from above and it can say it all This is a fever they can't take away This is the sound of. . .  the sound of. . .  the sound of our hearts The sound of our hearts The sound of our hearts Harmony can be achieved Just find some way to get connected Differences may not be wrong They enrich the things that we know Different faiths, different views All we can do is to turn them in key This is the sound of our hearts, if you listen This is a zeal from above and it can say it all This is a fever they can't take away This is the sound of. . .  the sound of. . .  the sound of. . .  This is the sound of our hearts, if you listen This is a zeal from above and it can say it all This a fever they can't take away This is the sound of. . .  the sound of. . .  the sound of our hearts The sound of our hearts The sound of our hearts ",-0.00421940928270042
"187",187,"4","Lithuania","Donny Montell","""Love Is Blind""","English","14","70",2012,"  When the day becomes the night, you know that I think of you And I cannot control my heart, it's crying for you Loneliness is killing me, I'm helpless without your love Knowing when you touch someone, I can't understand Now it's tearing me apart, I want you back And it's made me realise just what I had Love is blind, it's true, nobody is like you My endless melody I play for me and you Love is blind, it's true, I'm on my knees for you 'Cause I'd give it all I can to have you back again Love is blind I just can't believe you're gone and I let it slip away I can't believe I was the one who caused you pain I said you should know deep down inside she didn't mean a thing to me, yeah What can I do to win back your heart and make you to stay?  I can't believe, can't believe you're gone I can't believe. . .  Love is blind, it's true, nobody is like you My endless melody I play for me and you Love is blind, it's true, I'm on my knees for you ‘Cause I'd give it all I can to have you back again Love is blind Love is blind ",0.111587982832618
"190",190,"7","Iceland","Greta Salóme and Jónsi","""Never Forget""","English","20","46",2012,"  She's singing softly in the night Praying for the morning light She dreams of how they used to be At dawn they will be free Memories they haunt his mind Save him from the endless night She wispers warm and tenderly: ""Please come back to me"" And when the golden sun arises far across the sea The dawn will break as darkness fades Forever we'll be free Never forget what I did, what I said When I gave you all, my heart and soul Morning will come and I know we'll be one 'Cause I still believe that you'll remember me She mourns beneath the moonlit sky Remembering when they said goodbye Where's the one he used to know?  It seems so long ago And when the golden sun arises far across the sea The dawn will break as darkness fades Forever we'll be free Never forget, what I did, what I said When I gave you all, my heart and soul Morning will come and I know we'll be one 'Cause I still believe that you'll remember me Never forget, what I did what I said When I gave you all, my heart and soul Morning will come and I know we'll be one 'Cause I still believe that you'll remember me Oh, I still believe that you'll remember me Oh, I still believe that you'll remember me ",0.00408163265306122
"191",191,"8","Cyprus","Ivi Adamou","""La La Love""","English","16","65",2012,"  Lala. . .  lala lala lalala. . .  lala lala lala love Lala. . .  lala lala lalala. . .  lala lalala love Love the way you fill me up with life Baby, we can break the speed of light Nothing to fear when you are near Just gimme more Reaching for the sky, I'm aiming high Close my eyes and then it's almost like you fly Up in the air, let's take it there Never let go Oh. . .  feel the energy between you and me, baby it's so right Oh. . .  I feel the energy just taking over me, over me How I've been waiting for this Lala. . .  lala lala lalala. . .  lala lala lala love Oh I've been waiting for this Lala. . .  lala lala lalala. . .  lala lala lala love From Paris to LA over the night All around the world, just you and I Nothing to fear, when you are near We're on a roll And we do it again No stop, no end Out of control Oh. . .  feel the energy between you and me, baby it's so right Oh. . .  I feel the energy just taking over me, over me How I've been waiting for this Lala. . .  lala lala lalala. . .  lala lala lala love Oh I've been waiting for this Lala. . .  lala lala lalala. . .  lala lala lala love Nothing to fear, when you are near Oh. . .  I feel the energy between you and me, baby it's so right Oh. . .  I feel the energy just taking over me, over me How I've been waiting for this Lala. . .  lala lala lalala. . .  lala lala lala love Lala. . .  lala lala lalala. . .  lala lala lala love Oh I've been waiting for this Lala. . .  lala lala lalala. . .  lala lala lala love ",0.0718232044198895
"195",195,"12","Norway","Tooji","""Stay""","English","26","7",2012,"  I hear music as I walk down the street Start moving to the rhythm, heart is pumping the beat I hear the people shout out: ""Turn up the music louder"" Better start running if you can't stand the heat What's it doin' to me?  I feel it settin' me free It's like I'm losin' all control You know it's makin' me hot and baby I don't stop It's like a fire in my soul I don't know what I'm doing tonight But this rush, it is making me stronger I don't know if it's wrong or it's right But I know I want you to stay  ( Nana nana nana )  Stay  ( Nana nana nana )  My heart beats faster as I'm scanning the crowd My meters are peaking, I can tell you're around It's like I'm on a  ( high now ) , nothing can pull me  ( down now )  Sirens are calling and I can't kill the sound What's it doin' to me?  I feel it settin' me free It's like I'm losin' all control You know it's makin' me hot and baby I don't stop It's like a fire in my soul I don't know what I'm doing tonight But this rush, it is making me stronger I don't know if it's wrong or it's right But I know I want you to stay  ( Nana nana nana )  Stay  ( Nana nana nana )  Work it, move your body, baby You better  ( work )  – nana nana nana You better  ( work )  – nana nana nana Come on now, work it, move your body, baby You better  ( work )  – nana nana nana You better  ( work )  I don't know what I'm doing tonight But this rush, it is making me stronger I don't know if it's wrong or it's right But I know I want you to stay I don't know what I'm doing tonight But this rush, it is making me stronger I don't know if it's wrong or it's right But I know I want you to stay  ( Nana nana nana )  Stay  ( Nana nana nana )  ",0.0440414507772021
"196",196,"13","Azerbaijan","Sabina Babayeva","""When the Music Dies""","English","4","150",2012,"  You, you are my best friend You are my everything, so don't leave me now You, you are the best of me The reason that I believe, so don't leave me now And I try to keep us alive But you're cold, cold, cold Now every second that my heart skips, it ends But I still wanna keep us alive But it's cold, cold, cold, cold when the music dies It's all black and white and there's no sunrise When the music dies No you, you can't even look at me Still not gonna speak to me Whoa oh oh oh. . .  And I try to keep us alive But you're cold, cold, cold Now every second that my heart skips, it ends But I try to keep us alive But it's cold, cold, cold, cold When the music dies  ( Cold, cold, cold )  It gets cold and there's no sunrise So cold, now every second that my heart skips, it ends I try to keep us alive But you're cold, cold, so cold Every second my heartbeat ends Still I try to keep us alive But you're cold, cold, cold When the music dies ",0.0448430493273543
"198",198,"15","Denmark","Soluna Samay","""Should've Known Better""","English","23","21",2012,"  Should've known better Now I miss you like Sahara misses rain Changing like the weather Maybe it's true, maybe you're not gonna change I feel like you have two homes Yet I feel you are homeless Where we live I feel like a stranger When you home I feel even stranger I live in no man's land With no way home, like you don't understand ‘Cause you so here, you so there, not really anywhere She said. . .  Should've known better Now I miss you like Sahara misses rain Changing like the weather Maybe it's true, maybe you're not gonna change Feels like I'm always living out of my suitcase What about all the years in between Just trying to find my place I live in no man's land With no way home, like you don't understand ‘Cause you so here, you so there, not really anywhere She said: shout Insha'Allah, shout Insha'Allah, shout Insha'Allah She said: shout Insha'Allah, shout Insha'Allah, shout Insha'Allah We could've written words on a mountain high Reminding ourselves to keep climbing, right Sometimes we have to lose A part of us to find the truth Nothing more beautiful than the way You used to breathe me into your lungs and soul Sometimes we have to say: ""I'm sorry, I can't stay"" Should've known better Now I miss you like Sahara misses rain Changing like the weather Maybe it's true, maybe it's true  ( Shout Insha'Allah, shout Insha'Allah, shout Insha'Allah )  Oh, should've known better Now I miss you like Sahara misses rain  ( Shout Insha'Allah, shout Insha'Allah, shout Insha'Allah )  Changing like the weather Maybe it's true, maybe we're not gonna change Should've known better Should've known better ",0.134185303514377
"199",199,"16","Greece","Eleftheria Eleftheriou","""Aphrodisiac""","English","17","64",2012,"  I gotta say what's on my mind When I'm with you, I feel alright You call me baby, we spend the night I'm so addicted, I feel alive Over and over I'm falling Oh oh oh. . .  oh, oh oh oh. . .  oh You make me dance, dance like a maniac Oh oh oh. . .  oh, oh oh oh. . .  oh You make me want your aphrodisiac You make me want your aphrodisiac I think about you all the time I just can't get you off my mind You drive me crazy, you drive me wild You're so addictive, there's no way out Oh oh oh. . .  oh, oh oh oh. . .  oh You make me dance, dance like a maniac Oh oh oh. . .  oh, oh oh oh. . .  oh You make me want your aphrodisiac You make me want your aphrodisiac I'm craving for your touch I want it way too much I'm craving for your touch Too much, your touch, too much Over and over I'm falling Oh oh oh. . .  oh, oh oh oh. . .  oh You make me dance, dance like a maniac Oh oh oh. . .  oh, oh oh oh. . .  oh You make me want your aphrodisiac Oh oh oh. . .  oh, oh oh oh. . .  oh You make me dance, dance like a maniac Oh oh oh. . .  oh, oh oh oh. . .  oh You make me want your aphrodisiac You make me want your aphrodisiac ",0.0440677966101695
"200",200,"17","Sweden","Loreen","""Euphoria""","English","1","372",2012,"  Why, why can't this moment last forevermore?  Tonight, tonight eternity's an open door No, don't ever stop doing the things you do Don't go, in every breath I take I'm breathing you Euphoria Forever, till the end of time From now on, only you and I We're going u-u-u-u-u-up. . .  Euphoria An everlasting piece of art A beating love within my heart We're going u-u-u-u-u-up. . .  We are here, we're all alone in our own universe We are free, where everything's allowed and love comes first Forever and ever together, we sail into infinity We're higher and higher and higher, we're reaching for divinity Euphoria Forever, till the end of time From now on, only you and I We're going u-u-u-u-u-up. . .  Euphoria An everlasting piece of art A beating love within my heart We're going u-u-u-u-u-up. . .  Forever we sail into infinity We're higher, we're reaching for divinity Euphoria. . .  euphoria. . .  We're going u-u-u-u-u-up. . .  Euphoria An everlasting piece of art A beating love within my heart We're going up. . .  Euphoria. . .  euphoria. . .  We're going u-u-u-u-u-up. . .  ",0.165898617511521
"201",201,"18","Turkey","Can Bonomo","""Love Me Back""","English","7","112",2012,"  Oh, hey hey. . .  baby, love me back today Never ever sink my ship and sail away Oh, oh oh. . .  baby, don't shut me down Give me all the love I need and I'll be gone I'm a lonely sailor drinking the night away My ship is made from hope She's searching for your bay But you don't care Hop on to my ship, baby, I'll make you fly You love me and you know that, baby, don't you lie Like me like I like you and say na nani nani nani na. . .  Oh, oh oh. . .  we need a bit of rock 'n' roll Baby, don't you crush my soul and make me fall Oh, hey hey, baby, love me back today Don't you ever sink my ship and sail away Hop on to my ship, baby, I'll make you fly You love me and you know that, baby, don't you lie Like me like I like you and say na nani nani nani na. . .  Na nanani nanana nanana na na. . .  Pirates, high seas, cautions, cannons and potions A sailor's passion can always conquer the oceans Sing with me, my children Hop on to my ship, baby, I'll make you fly You love me and you know that, baby, don't you lie Like me like I like you and say na nani nani nani na. . .  Na nanana nanana nanana na nana. . .  Hayde!  Na nanana nanana nanana na nanana nanana. . .  Na nanana nanana nanana na nana. . .  ",0.122516556291391
"203",203,"20","Germany","Roman Lob","""Standing Still""","English","8","110",2012,"  Guess we knew this was coming on 'Cause you're already gone in my head You can tell me that I'm wrong That you're staying with me instead When winter's come along and summer's dead and gone Is there anything left here to say?  I can put my arms around the emptiness I found And find a way to make you stay But I'm standing still, I'm standing still As you leave me now I'm standing still, I'm standing still As you're walking out Yeah, I'm just standing still Now before I'd be this strong Pieces of me break so easy What I thought would be the end Is just the feeling that you freed me Girl, this ain't giving up, it's knowing where to stop Knowing when a thing is over I know my life is blind, see for the first time This ain't gonna bring us closer 'Cause I'm standing still, I'm standing still As you leave me now, yeah. . .  I'm standing still, I'm standing still As you're walking out I'm standing still. . .  'Cause I'm just standing still as you leave me now But I'm just standing still When winter's come along and summer's dead and gone Is there anything left here to say?  I can put my arms around the emptiness I found And find a way to make you stay I'm standing still, I'm standing still As you leave me now, yeah. . .  I'm standing still, I'm standing still As you're walking out I'm just standing still Just standing still Yeah, I'm just standing still Just standing still ",-0.0278745644599303
"204",204,"21","Malta","Kurt Calleja","""This Is the Night""","English","21","41",2012,"  Hey, look at me and you'll see that I'm into you Time to believe and achieve, I will stand by you As from this moment on, you and I can reach the stars All I need is one more chance This is the night, this is the night I will be the star, let me into your heart This is my life, this is the life I've been waiting for, I'll be back with more Singing eh eh eh eh. . .  yeah eh eh eh. . .  Yeah eh eh eh. . .  yeah eh eh eh. . .  This is the night, this is the night I'll be flying high, this is the night Hey, I believe you and me, we are meant to be I can't set you free, can't you see this is killing me?  As from this moment on, you and I can reach the stars All I need is one more chance This is the night, this is the night I will be the star, let me into your heart This is my life, this is the life I've been waiting for, I'll be back with more Singing eh eh eh eh. . .  yeah eh eh eh. . .  Yeah eh eh eh. . .  yeah eh eh eh. . .  This is the night, this is the night I'll be flying high, this is the night Let me into your heart Eh eh eh eh. . .  yeah eh eh eh. . .  Yeah eh eh eh. . .  yeah eh eh eh. . .   ( This is the night, this is the night )  This is the night   ( This is the night, this is the night )   ( I will be the star, let me into your heart )   ( This is my life, this is the life )   ( I've been waiting for, I'll be back with more )  Singing eh eh eh eh. . .  yeah eh eh eh. . .  Yeah eh eh eh. . .  yeah eh eh eh. . .  This is the night, this is the night I'll be flying high, this is the night ",0.0396039603960396
"206",206,"23","Ireland","Jedward","""Waterline""","English","19","46",2012,"  Floodgates, can't wait Here she comes, shut 'em fast, better shut 'em fast Too late, swept away Feel the rush after the fact Coming up beneath me Never been in love so deeply before I am close to the water line I thought that I'd been over my head for the last time I'm so close to the water line And the way I'm loving her now I know this is bound to go down as the big one Whistle blast, lights flash Throw a rope, grab a hold, feel the undertow She laughs, waves crash What's the use?  I can't let her go Coming up beneath me Never been in love so deeply before I am close to the water line I thought that I'd been over my head for the last time I'm so close to the water line And the way I'm loving her now I know this is bound to go down as the big one Floodgates, can't wait Here she comes, shut 'em fast Better shut 'em fast Too late, swept away Feel the rush I am close to the water line And the way I'm loving her now I know this is bound to go down as the one I am close to the water line I thought that I'd been over my head for the last time I'm so close to the water line And the way I'm loving her now I know this is bound to go down as the big one ",0.075187969924812
"208",208,"25","Ukraine","Gaitana","""Be My Guest""","English","15","65",2012,"  Welcome, girl and boy Take my hand, let's enjoy From the bottom of my heart I wish you the best You can be my guest  ( guest ) , guest  ( guest )  You can be my guest You can be my guest People, be my guest  ( Guest. . .  )  Welcome people, be my guest  ( Lala lalala. . .  lala lala lala la love. . .  )   ( Lala lalala. . .  lala lala lala la love. . .  )  Welcome, stay with me Be my friend, you are free To live your life, to share your love with world  ( You can count on me, darling, I'm your friend )  I'll do anything for you From the bottom of my heart, I wish you I wish you the best, yes  ( One, two, people )  You can be my guest People, be my guest  ( Guest. . .  )  Now you can be my guest  ( Lala lalala. . .  lala lala lala la love. . .  )   ( Lala lalala. . .  lala lala lala la love. . .  )  I'm always here for you And you know I care for you Just remember I lo. . .  lo. . .  lo. . .  lo. . .  love you  ( Lala lalala. . .  lala lala lala la love. . .  )  Welcome people  ( Lala lalala. . .  lala lala lala la love. . .  )  Now you can be my guest  ( Lala lalala. . .  lala lala lala la love. . .  )  You can be my guest  ( Lala lalala. . .  lala lala lala la love. . .  )  Be my guest ",0.169811320754717
"209",209,"26","Moldova","Pasha Parfeny","""Lăutar""","English","11","81",2012,"  At the wedding tonight, she looks nicer than the bride When she smiles, I forget my lyrics I got blind, I got mad, not from the diamonds she had But from the beauty that put my heart on fire You have never been to my show You haven't seen before how looks the trumpet But the sound goes straight to your soul, gets you out of control This trumpet makes you my girl  ( This trumpet makes you my girl )  Just like from paradise, you came down from the skies On a plane which belongs to your daddy Welcome to carousel, the wine is sweet, but take care 'Cause too much is no good for a princess You have never been to my show You haven't seen before how looks the trumpet But the sound goes straight to your soul, gets you out of control This trumpet makes you my girl You have never been to my show You haven't seen before how looks the trumpet But the sound goes straight to your soul, gets you out of control You haven't seen before  ( you've never seen before )  how looks the trumpet But the sound goes straight to your soul, gets you out of control This trumpet makes you  ( my girl )  This trumpet makes you  ( my girl )  This trumpet makes you my girl This trumpet makes you my girl ",0.0526315789473684
