"","Draw","To","Artist","Song","Language","Place","Points","Year","lyrics"
"197","14","Romania","Mandinga","""Zaleilah""","Spanish, English","12","71",2012,"  Mandinga, everyday Mandinga, zaleilah lei Así, así Vamos allá, vamos allá Siento el ritmo del cuerpo tocándome, eh yeah. . .  El perfume del viento besándome, eh yeah. . .  Cuando estoy a tu lado, me siento bien, whoa yeah. . .  Si me tocas, me abrazas, quiero bailar Soy feliz, puedo gritar Zaleilah leilah lei, everyday, everybody When you love you say, everyday, everybody Zaleilah leilah lei, everyday, everybody Zaleilah leilah lei, zaleilah leilah lei Ay!  ¿Cómo?  ¿Cómo?  ¿Cómo?  Tú, déjate amarte, déjame amarte toda la vida Tú nunca lo dudes que estoy para ti nada más Mi chico bonito, un poco negrito, ven papito, ven acá Siempre contigo, siento que vivo en un amor real Zaleilah leilah lei, everyday, everybody When you love you say, everyday, everybody Zaleilah leilah lei, everyday, everybody Zaleilah leilah lei, zaleilah leilah lei When you make me feel so special I am dreaming, I'm dreaming Oh, oh. . .  hey yeah. . .  Eveybody say:  ( Vamos, vamos, vamos, vamos allá )  Ay!   ( Vamos, vamos )  Así!   ( Vamos )  Muévete  ( Vamos, vamos, vamos, vamos allá )  Arriba, arriba  ( Vamos, vamos )  Zaleilah leilah lei, everyday, everybody When you love you say, everyday, everybody Zaleilah leilah lei, everyday, everybody Zaleilah leilah lei, zaleilah leilah lei "
"198","15","Denmark","Soluna Samay","""Should've Known Better""","English","23","21",2012,"  Should've known better Now I miss you like Sahara misses rain Changing like the weather Maybe it's true, maybe you're not gonna change I feel like you have two homes Yet I feel you are homeless Where we live I feel like a stranger When you home I feel even stranger I live in no man's land With no way home, like you don't understand ‘Cause you so here, you so there, not really anywhere She said. . .  Should've known better Now I miss you like Sahara misses rain Changing like the weather Maybe it's true, maybe you're not gonna change Feels like I'm always living out of my suitcase What about all the years in between Just trying to find my place I live in no man's land With no way home, like you don't understand ‘Cause you so here, you so there, not really anywhere She said: shout Insha'Allah, shout Insha'Allah, shout Insha'Allah She said: shout Insha'Allah, shout Insha'Allah, shout Insha'Allah We could've written words on a mountain high Reminding ourselves to keep climbing, right Sometimes we have to lose A part of us to find the truth Nothing more beautiful than the way You used to breathe me into your lungs and soul Sometimes we have to say: ""I'm sorry, I can't stay"" Should've known better Now I miss you like Sahara misses rain Changing like the weather Maybe it's true, maybe it's true  ( Shout Insha'Allah, shout Insha'Allah, shout Insha'Allah )  Oh, should've known better Now I miss you like Sahara misses rain  ( Shout Insha'Allah, shout Insha'Allah, shout Insha'Allah )  Changing like the weather Maybe it's true, maybe we're not gonna change Should've known better Should've known better "
"199","16","Greece","Eleftheria Eleftheriou","""Aphrodisiac""","English","17","64",2012,"  I gotta say what's on my mind When I'm with you, I feel alright You call me baby, we spend the night I'm so addicted, I feel alive Over and over I'm falling Oh oh oh. . .  oh, oh oh oh. . .  oh You make me dance, dance like a maniac Oh oh oh. . .  oh, oh oh oh. . .  oh You make me want your aphrodisiac You make me want your aphrodisiac I think about you all the time I just can't get you off my mind You drive me crazy, you drive me wild You're so addictive, there's no way out Oh oh oh. . .  oh, oh oh oh. . .  oh You make me dance, dance like a maniac Oh oh oh. . .  oh, oh oh oh. . .  oh You make me want your aphrodisiac You make me want your aphrodisiac I'm craving for your touch I want it way too much I'm craving for your touch Too much, your touch, too much Over and over I'm falling Oh oh oh. . .  oh, oh oh oh. . .  oh You make me dance, dance like a maniac Oh oh oh. . .  oh, oh oh oh. . .  oh You make me want your aphrodisiac Oh oh oh. . .  oh, oh oh oh. . .  oh You make me dance, dance like a maniac Oh oh oh. . .  oh, oh oh oh. . .  oh You make me want your aphrodisiac You make me want your aphrodisiac "
"200","17","Sweden","Loreen","""Euphoria""","English","1","372",2012,"  Why, why can't this moment last forevermore?  Tonight, tonight eternity's an open door No, don't ever stop doing the things you do Don't go, in every breath I take I'm breathing you Euphoria Forever, till the end of time From now on, only you and I We're going u-u-u-u-u-up. . .  Euphoria An everlasting piece of art A beating love within my heart We're going u-u-u-u-u-up. . .  We are here, we're all alone in our own universe We are free, where everything's allowed and love comes first Forever and ever together, we sail into infinity We're higher and higher and higher, we're reaching for divinity Euphoria Forever, till the end of time From now on, only you and I We're going u-u-u-u-u-up. . .  Euphoria An everlasting piece of art A beating love within my heart We're going u-u-u-u-u-up. . .  Forever we sail into infinity We're higher, we're reaching for divinity Euphoria. . .  euphoria. . .  We're going u-u-u-u-u-up. . .  Euphoria An everlasting piece of art A beating love within my heart We're going up. . .  Euphoria. . .  euphoria. . .  We're going u-u-u-u-u-up. . .  "
"201","18","Turkey","Can Bonomo","""Love Me Back""","English","7","112",2012,"  Oh, hey hey. . .  baby, love me back today Never ever sink my ship and sail away Oh, oh oh. . .  baby, don't shut me down Give me all the love I need and I'll be gone I'm a lonely sailor drinking the night away My ship is made from hope She's searching for your bay But you don't care Hop on to my ship, baby, I'll make you fly You love me and you know that, baby, don't you lie Like me like I like you and say na nani nani nani na. . .  Oh, oh oh. . .  we need a bit of rock 'n' roll Baby, don't you crush my soul and make me fall Oh, hey hey, baby, love me back today Don't you ever sink my ship and sail away Hop on to my ship, baby, I'll make you fly You love me and you know that, baby, don't you lie Like me like I like you and say na nani nani nani na. . .  Na nanani nanana nanana na na. . .  Pirates, high seas, cautions, cannons and potions A sailor's passion can always conquer the oceans Sing with me, my children Hop on to my ship, baby, I'll make you fly You love me and you know that, baby, don't you lie Like me like I like you and say na nani nani nani na. . .  Na nanana nanana nanana na nana. . .  Hayde!  Na nanana nanana nanana na nanana nanana. . .  Na nanana nanana nanana na nana. . .  "
"202","19","Spain","Pastora Soler","""Quédate conmigo""","Spanish","10","97",2012,"  Perdón si no supe decir Que lo eras todo para mí Perdón por el dolor Perdona cada lágrima Yo sé que no merezco más Pero si no te tengo aquí, no sé vivir Quédate conmigo, no te vayas Perdóname si no supe amarte, amor No era mío el corazón Quédate conmigo, quédate conmigo Si no estás, no sale el sol Ya no hay recuerdos del ayer Sólo las horas en tu piel, amándote Quédate conmigo, no te vayas Perdóname si no supe amarte, amor No era mío el corazón Quédate conmigo, quédate conmigo Si no estás, no sale el sol Y ahora que te veo marchar Sé que no te voy a olvidar  ( Si no supe amarte, amor )  Si no supe amarte, amor  ( No era mío el corazón )  No. . .  Quédate conmigo, quédate conmigo Si no estás, no sale el sol Y ahora que te veo marchar  ( Y ahora que te veo marchar )  Sé que no te voy a olvidar  ( Sé que no te voy a olvidar )  Quédate conmigo, quédate conmigo Si no estás, no sale el sol "
"203","20","Germany","Roman Lob","""Standing Still""","English","8","110",2012,"  Guess we knew this was coming on 'Cause you're already gone in my head You can tell me that I'm wrong That you're staying with me instead When winter's come along and summer's dead and gone Is there anything left here to say?  I can put my arms around the emptiness I found And find a way to make you stay But I'm standing still, I'm standing still As you leave me now I'm standing still, I'm standing still As you're walking out Yeah, I'm just standing still Now before I'd be this strong Pieces of me break so easy What I thought would be the end Is just the feeling that you freed me Girl, this ain't giving up, it's knowing where to stop Knowing when a thing is over I know my life is blind, see for the first time This ain't gonna bring us closer 'Cause I'm standing still, I'm standing still As you leave me now, yeah. . .  I'm standing still, I'm standing still As you're walking out I'm standing still. . .  'Cause I'm just standing still as you leave me now But I'm just standing still When winter's come along and summer's dead and gone Is there anything left here to say?  I can put my arms around the emptiness I found And find a way to make you stay I'm standing still, I'm standing still As you leave me now, yeah. . .  I'm standing still, I'm standing still As you're walking out I'm just standing still Just standing still Yeah, I'm just standing still Just standing still "
"204","21","Malta","Kurt Calleja","""This Is the Night""","English","21","41",2012,"  Hey, look at me and you'll see that I'm into you Time to believe and achieve, I will stand by you As from this moment on, you and I can reach the stars All I need is one more chance This is the night, this is the night I will be the star, let me into your heart This is my life, this is the life I've been waiting for, I'll be back with more Singing eh eh eh eh. . .  yeah eh eh eh. . .  Yeah eh eh eh. . .  yeah eh eh eh. . .  This is the night, this is the night I'll be flying high, this is the night Hey, I believe you and me, we are meant to be I can't set you free, can't you see this is killing me?  As from this moment on, you and I can reach the stars All I need is one more chance This is the night, this is the night I will be the star, let me into your heart This is my life, this is the life I've been waiting for, I'll be back with more Singing eh eh eh eh. . .  yeah eh eh eh. . .  Yeah eh eh eh. . .  yeah eh eh eh. . .  This is the night, this is the night I'll be flying high, this is the night Let me into your heart Eh eh eh eh. . .  yeah eh eh eh. . .  Yeah eh eh eh. . .  yeah eh eh eh. . .   ( This is the night, this is the night )  This is the night   ( This is the night, this is the night )   ( I will be the star, let me into your heart )   ( This is my life, this is the life )   ( I've been waiting for, I'll be back with more )  Singing eh eh eh eh. . .  yeah eh eh eh. . .  Yeah eh eh eh. . .  yeah eh eh eh. . .  This is the night, this is the night I'll be flying high, this is the night "
"205","22","Macedonia","Kaliopi","""Crno i belo"" (Црно и бело)","Macedonian","13","71",2012,"  Vo oči sega gledaj me Ne sum gubitnik ti znaj Ne se predavam do kraj Nema ragjanje bez pagjanje Otvori duša priznaj mi Što sme sega jas i ti Pola moe vo tebe A pola tvoe spie vo mene Ajde sega gušni me, do nebo digni me Crno i belo e se Edna vistina i edna laga Iako zaedno sme Jas biram srekja, ti biraš taga Crno i belo e se Dobro i lošo ništo ne gi deli Daj sega nasmevni se Denot me vodi vo nokji beli Vo oči sega gledaj me Tamu ti kje najdeš se Ajde predaj se do kraj Za novo ragjanje, so mene Otvori duša priznaj mi Što sme sega, jas i ti Pola moe vo tebe A pola tvoe spie vo mene Ajde sega gušni me do nebo digni me Crno i belo e se Edna vistina i edna laga Iako zaedno sme Jas biram srekja, ti biraš taga Crno i belo e se Dobro i lošo, ništo ne gi deli Daj sega nasmevni se Denot me vodi vo nokji beli Crno i belo e se Edna vistina i edna laga Iako zaedno sme Jas biram srekja ti biraš taga Crno i belo e se Dobro i lošo, ništo ne gi deli Daj sega nasmevni se Denot me vodi vo nokji beli Crno i belo e se "
"206","23","Ireland","Jedward","""Waterline""","English","19","46",2012,"  Floodgates, can't wait Here she comes, shut 'em fast, better shut 'em fast Too late, swept away Feel the rush after the fact Coming up beneath me Never been in love so deeply before I am close to the water line I thought that I'd been over my head for the last time I'm so close to the water line And the way I'm loving her now I know this is bound to go down as the big one Whistle blast, lights flash Throw a rope, grab a hold, feel the undertow She laughs, waves crash What's the use?  I can't let her go Coming up beneath me Never been in love so deeply before I am close to the water line I thought that I'd been over my head for the last time I'm so close to the water line And the way I'm loving her now I know this is bound to go down as the big one Floodgates, can't wait Here she comes, shut 'em fast Better shut 'em fast Too late, swept away Feel the rush I am close to the water line And the way I'm loving her now I know this is bound to go down as the one I am close to the water line I thought that I'd been over my head for the last time I'm so close to the water line And the way I'm loving her now I know this is bound to go down as the big one "
"207","24","Serbia","Željko Joksimović","""Nije ljubav stvar"" (Није љубав ствар)","Serbian","3","214",2012,"  Više sreće drugi put Kažeš mi to tako lako Vidim da nam ne ide Pa još kako moglo je I ako odeš ti Nešto tvoje znaj Tu će ostati Nije ljubav stvar Da bih ti je vratio Gledaj to sam samo ja Uvek sam te voleo Nije ljubav stvar Pa da ne znam šta ću s njom Želim ti sve najbolje Ova ljubav samo moj je brodolom Nije tvoja ljubav stvar Da bih ti je vratio Gledaj to sam samo ja Uvek sam te voleo Nije moja ljubav stvar Pa da ne znam šta ću s njom Želim ti sve najbolje To moj je brodolom Idi samo, samo idi tamo Leti, pevaj, srce drugome daj A znaj da zbogom nije kraj Nije moja ljubav stvar Pa da ne znam šta ću s njom Želim ti sve najbolje Ova ljubav samo moj je brodolom "
"208","25","Ukraine","Gaitana","""Be My Guest""","English","15","65",2012,"  Welcome, girl and boy Take my hand, let's enjoy From the bottom of my heart I wish you the best You can be my guest  ( guest ) , guest  ( guest )  You can be my guest You can be my guest People, be my guest  ( Guest. . .  )  Welcome people, be my guest  ( Lala lalala. . .  lala lala lala la love. . .  )   ( Lala lalala. . .  lala lala lala la love. . .  )  Welcome, stay with me Be my friend, you are free To live your life, to share your love with world  ( You can count on me, darling, I'm your friend )  I'll do anything for you From the bottom of my heart, I wish you I wish you the best, yes  ( One, two, people )  You can be my guest People, be my guest  ( Guest. . .  )  Now you can be my guest  ( Lala lalala. . .  lala lala lala la love. . .  )   ( Lala lalala. . .  lala lala lala la love. . .  )  I'm always here for you And you know I care for you Just remember I lo. . .  lo. . .  lo. . .  lo. . .  love you  ( Lala lalala. . .  lala lala lala la love. . .  )  Welcome people  ( Lala lalala. . .  lala lala lala la love. . .  )  Now you can be my guest  ( Lala lalala. . .  lala lala lala la love. . .  )  You can be my guest  ( Lala lalala. . .  lala lala lala la love. . .  )  Be my guest "
"209","26","Moldova","Pasha Parfeny","""Lăutar""","English","11","81",2012,"  At the wedding tonight, she looks nicer than the bride When she smiles, I forget my lyrics I got blind, I got mad, not from the diamonds she had But from the beauty that put my heart on fire You have never been to my show You haven't seen before how looks the trumpet But the sound goes straight to your soul, gets you out of control This trumpet makes you my girl  ( This trumpet makes you my girl )  Just like from paradise, you came down from the skies On a plane which belongs to your daddy Welcome to carousel, the wine is sweet, but take care 'Cause too much is no good for a princess You have never been to my show You haven't seen before how looks the trumpet But the sound goes straight to your soul, gets you out of control This trumpet makes you my girl You have never been to my show You haven't seen before how looks the trumpet But the sound goes straight to your soul, gets you out of control You haven't seen before  ( you've never seen before )  how looks the trumpet But the sound goes straight to your soul, gets you out of control This trumpet makes you  ( my girl )  This trumpet makes you  ( my girl )  This trumpet makes you my girl This trumpet makes you my girl "
"210","1","Finland","Paradise Oskar","""Da Da Dam""","English","21","57",2011,"  Peter is smart, he knows each European country by heart He likes to sit under an apple tree on his yard And wait for an apple to fall When Peter is nine, his teacher tells him that this planet is dying That someone needs to put an end to it all And so when Peter comes home, he tells his mom: I'm going out in the world to save our planet And I ain't coming back until she's saved I'll walk my way to see the king and parliament If they don't help, I'll do it by myself I don't wanna be. . .  Dadadam dadadam dadadada dadada dadam. . .  Peter is young, he tries to talk, but no one listens to him Everybody's busy living and dying, not thinking about what they're doing.  But look at the boy who went out in the world to save our planet And he ain't coming back until she's saved He walked his way to see the king and parliament But they all turned their heads and walked away, singing: Dadadam dadadam dadadada dadada dadam. . .  Dadadam dadadam dadadada dadada dadam. . .  And now I'm going out in the world to save our planet And I ain't coming back until she's saved I'm walking in the footsteps that young Peter made And everybody is welcome to join, and sing with me: Dadadam dadadam dadadada dadada dadam. . .  Dadadam dadadam dadadada dadada dadam. . .  Dadadam dadadam dadadada dadada dadam. . .  "
"211","2","Bosnia and Herzegovina","Dino Merlin","""Love in Rewind""","English, Bosnian","6","125",2011,"  Oh. . .   ( Oh. . .  )  One to a hundred, multiplied by you It all looks great, it all looks cool Healthy children go to school My daughter's in love, my son loves too Oh, on the surface, oh, in the distance It's all the same Oh, in the darkness, oh, don't you notice What a different game If you take this life from me today Tear it up and bury me away You'll just find two, three songs of mine Hundred worries of mine Your love, your love in rewind You'll just find two, three songs of mine Hundred worries of mine And all your love in rewind Sito, oh. . .  Sito, oh. . .  Sito, oh. . .  Sito, oh. . .  One to a hundred, multiplied by two It's less about me, it's less about you We keep on running from certainty But don't know where to run from reality If you take this life from me today Tear it up and bury me away You'll just find two, three songs of mine Hundred worries of mine Your love, your love in rewind You'll just find two, three songs of mine Hundred worries of mine And all your love, your love  ( Kad se moj život malo prosije )  Your love, ooh. .  ooh. . .   ( Pa na vrhu ostane najkrupnije )  Oh. . .  oh. . .  oh. . .  oh. . .  Eh hey. . . . .  "
"212","3","Denmark","A Friend in London","""New Tomorrow""","English","5","134",2011,"  Come on boys, come on girls In this crazy, crazy world You're the diamonds, you're the pearls Let's make a new tomorrow, today Wake up, slow down Do nothing right now Breathe in, breathe out Did we forget how to live, to dream And what it all means?  It's like we don't care Who's hot, who's not?  Who's got the right upside down?  Tonight, tomorrow You're out of time Upstyle, you are back in the line A race to nowhere Come on boys, come on girls In this crazy, crazy world You're the diamonds, you're the pearls Let's make a new tomorrow Come on girls, come on boys It's your future, it's your choice And your weapon is your voice Let's make a new tomorrow, today Turn left, turn right Don't make up your mind Your way to fame is all in vain You get in the spot Then you run out of luck You're going nowhere We can change it all today Come on boys, come on girls In this crazy, crazy world You're the diamonds, you're the pearls Let's make a new tomorrow Come on girls, come on boys It's your future, it's your choice And your weapon is your voice Let's make a new tomorrow, today Come on boys Let's make a new tomorrow Come on boys, come on girls In this crazy, crazy world You're the diamonds, you're the pearls Let's make a new tomorrow Come on girls, come on boys It's your future, it's your choice And your weapon is your voice Let's make a new tomorrow, today "
"213","4","Lithuania","Evelina Sašenko","""C'est ma vie""","English","19","63",2011,"  Great is the sorrow But just look straight for tomorrow When soon will shine at your face Don't close your eyes Those who went through desert Passed never ending forever They know my dreams will come true As I sing to you: C'est ma vie, je dis oui No more rain around I know I have found Everlasting love for life Love of mine, love the time Time will give the answers For all your great tribulation Soon we'll be playing in the sun And feel like one C'est ma vie, je dis oui No more rain around I know I have found Everlasting love for life Love of mine, love that shines, love of time C'est ma vie, je dis oui No more rain round I know I have found Everlasting love for life Love that shines, love of mine Love of time, love of mine C'est ma vie "
"214","5","Hungary","Kati Wolf","""What About My Dreams?""","English, Hungarian","22","53",2011," I always stood behind you, always close Stood by your side, no matter what the cost And I always was there for you when you called Should I live all my life for only your cause?  What about my life?  What about my dreams?  What about how I feel?  What about my needs?  I can't hold back, I can't go back, I must be free What about how I feel?  What about my life?   ( I can't )  Can't  ( Hold back )  Back  ( No more )   ( I can't )  I can't  ( Hold back )  Hold back  ( No more )  Tíz lépés, száz lépés távolság kell Nem számít merre csak el, tőled el Mit mondhatnál, mit mondhatnék Elkoptunk rég, szemeinkből nézd, hova tűnt a fény?  What about my life?  What about my dreams?  What about how I feel?  What about my needs?  I can't hold back, I can't go back, I must be free What about how I feel?  What about my life?   ( I can't hold back )  Gonna live my dreams  ( I won't go back )  Oh, my dreams  ( I need to be all I can be )  Gonna live my life  ( I can't hold back )  I can't go back  ( I won't go back )  I must be free  ( I need to be all I can be )  What about my dreams?  "
"215","6","Ireland","Jedward","""Lipstick""","English","8","119",2011,"  You say you're on it, but you just don't know You're spending money like you're on death row You must be mis-educated by all the guys that you dated You think I'll take the bait, but I don't think so Oh. . .  am I headed for a car crash?  Oh. . .  I'm just about to meet my match, she takes the Ho. . .  I'm about to fall in, head first Sisters, let me tell you how it works Hey!  She's got her lipstick on Here I come, da da dum She's got her lipstick on Hit and run, then I'm gone Check my collar, collar, hey, hey hey. . .  Check my collar, collar, hey, hey hey. . .  Oh. . .  oh. . .  You look at me and I got you in mind I come on over, see what I could find No appetite for delusion How could I win when I'm losin'?  You're saying yes, when it is no, no, no, no Oh. . .  am I headed for a car crash?  Oh. . .  I'm just about to meet my match, she takes the Ho. . .  I'm about to fall in, head first Sisters, let me tell you how it works Hey!  She's got her lipstick on Here I come, da da dum She's got her lipstick on Hit and run, then I'm gone Check my collar, collar, hey, hey hey. . .  Check my collar, collar, hey, hey hey. . .  She's got her lipstick on Here I come, da da dum She's got her lipstick on Hit and run, then I'm gone Check my collar, collar, hey, hey hey. . .  Check my collar, collar, hey It's not that I don't wanna play  ( play, play )  And then I didn't look your way  ( way, way )  It's not like every girl's the same  ( same, same )  You gotta know just how to treat this miss She won't be dismissed Hey. . .  She's got her lipstick on Here I come, da da dum She's got her lipstick on Hit and run, then I'm gone Check my collar, collar, hey, hey hey. . .  Check my collar, collar, hey, hey hey. . .  She's got her lipstick on Here I come, da da dum She's got her lipstick on Hit and run, then I'm gone Check my collar, collar, hey, hey hey. . .  Check my collar, collar, hey, hey hey. . .  Here I come, here I come Dum da dum, da dum, da dum. . .  Here I come, here I come Dum da dum, da dum, da dum. . .  Hit and run, hit and run Dum da dum, da dum, da dum. . .  Then I'm gone, then I'm gone Gone, gone, gone, gone "
"216","7","Sweden","Eric Saade","""Popular""","English","3","185",2011,"  Stop, don't say that it's impossible 'Cause I know it's possible Though I know you never look my way I can say you will one day I can say you will one day I will be popular, I will be popular I'm gonna get there, popular My body wants you, girl My body wants you, girl I'll get you when I'm popular I put my hands up in the light You see me dancing for my life I will be popular, I will be popular I'm gonna get there, popular Spread the news, I'm gonna take the fight For the spotlight, day and night I can take this to the number one Be someone before you're gone Be someone before you're gone I will be popular, I will be popular I'm gonna get there, popular My body wants you girl My body wants you girl I'll get you when I'm popular I put my hands up in the light You see me dancing for my life I will be popular, I will be popular I'm gonna get there, popular Oh pop. . .  oh pop. . .  oh popular Oh pop. . .  oh pop. . .  oh popular Oh pop. . .  oh pop. . .  oh popular Oh, oh. . .  I will be popular, I will be popular I'm gonna get there My body wants you, girl My body wants you, girl I'll get you when I'm popular I put my hands up in the light You see me dancing for my life I will be popular, I will be popular Popular Oh pop. . .  oh pop. . .  oh popular Oh, oh. . .  "
"217","8","Estonia","Getter Jaani","""Rockefeller Street""","English","24","44",2011,"  Daylight is fading away Night silhouettes in the sky LED lights are flashing on towers It's Manhattan's magical time Ballerinas dancing the Swan Lake On a river made of diamonds and pearls Everything's a little bit weird now Because tonight it is showtime In the middle of the street life All we celebrate are good times Because tonight it is showtime Come and walk with me 1273 down the Rockefeller street Life is marchin' on, do you feel that?  1273 down the Rockefeller street Everything is more than surreal  ( Than surreal )   ( Alright, alright, alright )   ( Let's go, let's go )  Oldschool Hollywood stars Party cinderellas are here They move like computer game heroes Because they know it is showtime In the middle of the street life All they celebrate are good times  ( Good times )  Because tonight it is showtime  ( Showtime )  So let's keep movin' on 1273 down the Rockefeller street Life is marchin' on, do you feel that?  1273 down the Rockefeller street Everything is more than surreal So let's keep movin' on Keep movin', keep movin', keep movin', keep movin' If you want to know what  Rockefeller groove is Keep movin', keep movin', keep movin', keep movin' Time is right to celebrate good times Keep movin', keep movin', keep movin', keep movin' If you want to know what  Rockefeller groove is Keep movin', keep movin', keep movin', keep movin' Time is right to celebrate good times 1273 down the Rockefeller street Life is marchin' on, do you feel that?  1273 down the Rockefeller street Everything is more than surreal We're singing 1273 down the Rockefeller street Life is marchin' on, do you feel that?  We're singing 1273 down the Rockefeller street Everything is more than surreal "
"218","9","Greece","Loukas Giorkas feat. Stereo Mike","""Watch My Dance""","English, Greek","7","120",2011,"  I was born so betrayed – who am I, what I'll be?  What is mine in this life?  Just the heaven and sea No, I won't give them up, they're my fortune, my proof Don't believe what you hear 'cause the truth kills your truth The duty I've got is my war against fear And I want you with me, yes, I want you so near Watch my dance, head up high, hands like wings and I'll fly To kefali psila ke ta herya anihta Tin ehi i psihi mu ti fotya Tus fovus olus kei monadhika Ta vimata mu kano os to Theo Ki an peso ego xana tha sikotho I have heard many words, but I still won't forget The language of my body, the sound my heart makes So I'm staying alive and my losses won't let My soul to surrender, the power of loss is my bet Watch my dance, head up high, hands like wings and I'll fly To kefali psila ke ta herya anihta Tin ehi i psihi mu ti fotya Tus fovus olus kei monadhika Ta vimata mu kano os to Theo Ki an peso ego xana tha sikotho Tin ehi i psihi mu ti fotya Tus fovus olus kei monadhika Ta vimata mu kano os to Theo Ki an peso ego xana tha sikotho "
"219","10","Russia","Alexey Vorobyov","""Get You""","English, Russian","16","77",2011,"  I choose my words like wise men do And tonight I'll get you right I rule my world like great men do And I fight, I fight for mine And you look so good on the floor Put my mind in a dirty zone If they watch, let them watch Not losing you tonight Oh oh. . .  I'm coming to get you Oh oh. . .  I'm running, I'm gunning for you Oh oh. . .  I'm gonna get you I know you, you want me to I lost my mind somewhere between your face And your perfect shape I found a pleasure watching you having fun Fooling around And you look so good on the floor Put my mind in a dirty zone If they talk, let them talk Not losing you tonight Oh oh. . .  I'm coming to get you Oh oh. . .  I'm running, I'm gunning for you Oh oh. . .  I'm gonna get you I know you, you want me to Girl, you blow me away, want you here with me Girl, you blow me away, I want you to stay, yeah yeah Oh oh oh. . .  oh oh yeah. . .  oh oh oh. . .  I know you want me to Oh oh. . .  I'm coming to get you Oh oh. . .  I'm running, I'm gunning for you Oh oh. . .  I'm gonna get you I know you, you want me to, yeah "
"220","11","France","Amaury Vassili","""Sognu""","Corsican","15","82",2011,"  Sognu di ste labbre Di sta voce chjara è pura Mai spent'u ricordu di tè Quella notte quì cun mè Sognu, mi lamentu U mio core, n'hà primura Di a vita, aspettu dumane Invinuchjatu ver di u mare Spart'u mondu cun tè Ma tù, ti ne voli andà Cantu per a vittoria Luntanu da tè, pensu sempre chè Sei vicinu a mè, sognu di tè Canteraghju, canteraghju à tè A canzona, l'ohimè Piengu è sò male Preg'u celu fin'à more Quì da i monti, quì di front'à tè Esceraghju d'issu so. . .  S'è tu mori, eu dinò "
"221","12","Italy","Raphael Gualazzi","""Madness of Love""","Italian, English","2","189",2011,"  Dire si, dire mai non è facile, sai And all the world around you seems to slip and disappear Io non so più chi sei, non mi importa chi sei I know for certain I won't bother you with nostalgia Ma vedrai un altro me in un sogno fragile Riderai come se non ti avessi amato mai Cercherai un altro me oltre l'ombra di un caffè Troverai solo me Se mi fermo un attimo, io non so più chi sei Qui si vive così, day by day, night by night But someone hit me and I fell into your heart, my dear And you'll fly over lands where your eyes can't find the end Up on mountains, down lanes Being so far away from you just makes me feel so damned E vedrai un'altra te, quasi invincibile Viva come non mai ed è li che tu mi avrai Oltre false magie l'orizzonte sarai Splenderai, splenderai, splenderai, splenderai "
"222","13","Switzerland","Anna Rossinelli","""In Love for a While""","English","25","19",2011,"  I looked into your eyes, and when I saw your smile I knew right from the start: life is good for a while Romance comes and goes, but a love like ours is here to stay Each lovely night and sunny day I love everything about you, I couldn't do without you Whenever you're near me, all my days are on the bright side But when I'm not around you, I have to find the way To be with you each night and every day Na nanana nanana. . .  na nanana nanana. . .  Na nanana nananana. . .  na nananana. . .  Na nanana nanana. . .  na nanana nanana. . .  Nanana nanana nanana. . .  And as time goes by and we've seen stormy weather I know that you and I, we're always getting better But when I'm not around you, I have to find the way To be with you each night and every day Oh, I couldn't do without you, yeah I have to find the way to. . .  to be with you, no oh no no oh. . .  I love everything you do I have to find the way to be with you I know you and I are in love for a while "
"223","14","United Kingdom","Blue","""I Can""","English","11","100",2011,"   ( Ge-ge-ge-get back up again )   ( Ge-ge-ge-get back up again )  You were the eyes in the face of fortune  I lost my way and I couldn't find you  Oh… oh no We're not the first ones to be divided  Won't be the last to be reunited  Oh… oh no It's like rain fallin' down  Drops of pain hit the ground  I can't speak, there's no sound when you're gone   ( Yeah, yeah, come on )  I can, I will  I know I can untie these hands  Ge-ge-ge-get back up again  I can, I will  I know I can untie these hands  Ge-ge-ge-get back up again I can, oh I can   ( Get back up again )  I've never lost anything quite like this  No second chances if I don't find it  No, oh no, no You closed the door and you kept on walkin'  Left me behind and there's no more talkin'  No , oh no  ( Oh no )  It's like rain fallin' down  Drops of pain hit the ground  I can't speak, there's no sound when you're gone  I can, I will  I know I can untie these hands  Ge-ge-ge-get back up again  I can, I will  I know I can untie these hands  Ge-ge-ge-get back up again  ( Come on )  I can, oh  I can   ( Get back up again )  We're not the first ones to be divided, oh  Won't be the last to be reunited, no  ( Come again, one more time )   When you're gone  ( Come on )  I can, I will  I know I can untie these hands  Ge-ge-ge-get back up again  I can, I will  I know I can untie these hands  Ge-ge-ge-get back up again I can, I can Ge-ge-ge-get back up again "
